District,RentType,Area,Price,UnitPrice,HouseFloor,BuldFloor,ElevatorFlag,CommunityID,Geometry
YX,Whole,25,2800,112,M,6,1,302,"23 8m 14.9994s N, 113 16m 59.6525s E"
LW,Whole,30,1300,43,L,4,0,304,"23 7m 24.4435s N, 113 13m 58.0881s E"
LW,Whole,55,16000,290,L,1,0,304,"23 7m 24.4435s N, 113 13m 58.0881s E"
LW,Whole,80,4500,56,L,3,0,304,"23 7m 24.4435s N, 113 13m 58.0881s E"
YX,Whole,98,4350,44,M,25,1,305,"23 8m 48.4838s N, 113 16m 16.3193s E"
PY,Whole,40,2300,57,M,7,0,306,"22 58m 34.2698s N, 113 20m 14.4253s E"
HD,Whole,48,1200,25,M,11,1,307,"23 24m 23.7586s N, 113 15m 15.8848s E"
HD,Whole,48,1200,25,H,11,1,307,"23 24m 23.7586s N, 113 15m 15.8848s E"
TH,Whole,83,5000,60,M,9,0,314,"23 7m 25.6621s N, 113 20m 56.7298s E"
PY,Whole,20,650,32,H,6,0,358,"22 56m 41.2005s N, 113 20m 49.0227s E"
PY,Whole,35,1100,31,M,6,0,358,"22 56m 41.2005s N, 113 20m 49.0227s E"
TH,Whole,65,4500,69,M,5,0,2867,"23 9m 25.0318s N, 113 20m 37.6776s E"
TH,Whole,45,3500,77,L,4,0,2867,"23 9m 25.0318s N, 113 20m 37.6776s E"
PY,Whole,104,3000,28,L,17,1,2868,"22 57m 28.6192s N, 113 28m 58.7215s E"
CH,Whole,95,2100,22,M,18,1,2869,"23 26m 55.2092s N, 113 29m 16.1464s E"
LW,Shared,15,2630,175,9,19,1,1271,"23 7m 35.7579s N, 113 14m 4.98867s E"
HP,Whole,144,8500,59,H,29,1,248,"23 10m 55.3489s N, 113 28m 49.7632s E"
HZ,Whole,55,3500,63,M,8,0,1017,"23 6m 9.93004s N, 113 18m 19.4366s E"
LW,Whole,56,2500,44,M,9,0,2882,"23 6m 39.1929s N, 113 12m 47.989s E"
YX,Whole,93,2000,21,L,9,0,698,"23 8m 24.1594s N, 113 16m 13.778s E"
PY,Whole,63,2600,41,M,6,0,1045,"22 58m 37.1027s N, 113 19m 32.294s E"
TH,Whole,33,2300,69,L,19,1,2883,"23 9m 25.3898s N, 113 18m 37.5471s E"
TH,Whole,33,2350,71,M,19,1,2883,"23 9m 25.3898s N, 113 18m 37.5471s E"
HD,Whole,108,2800,25,H,17,1,318,"23 21m 20.3648s N, 113 14m 42.6903s E"
HD,Whole,91,2500,27,M,17,1,318,"23 21m 20.3648s N, 113 14m 42.6903s E"
ZC,Whole,105,2300,21,M,6,0,1228,"23 8m 8.83196s N, 113 33m 58.9761s E"
ZC,Whole,105,2200,20,L,6,0,1228,"23 8m 8.83196s N, 113 33m 58.9761s E"
ZC,Whole,100,2300,23,M,6,0,1228,"23 8m 8.83196s N, 113 33m 58.9761s E"
HD,Whole,85,2200,25,M,32,1,612,"23 25m 8.60735s N, 113 11m 5.1413s E"
HD,Whole,84,2000,23,M,32,1,612,"23 25m 8.60735s N, 113 11m 5.1413s E"
HD,Whole,92,2500,27,M,32,1,612,"23 25m 8.60735s N, 113 11m 5.1413s E"
YX,Whole,105,3000,28,H,9,0,1104,"23 7m 11.4794s N, 113 15m 4.04806s E"
YX,Whole,13,1800,138,H,4,0,1104,"23 7m 11.4794s N, 113 15m 4.04806s E"
YX,Whole,10,1600,160,H,4,0,1104,"23 7m 11.4794s N, 113 15m 4.04806s E"
YX,Whole,10,1600,160,H,4,0,1104,"23 7m 11.4794s N, 113 15m 4.04806s E"
